interval,trend
460,-0.01498865
461,-0.01957264
462,-0.01527302
463,-0.02947821
464,-0.0501221
465,-0.05992819
466,-0.05531288
467,-0.03326466
468,-0.01435605
469,0.00213986
470,0.02123657
471,-0.01455952
472,-0.0232486
473,-0.04584639
474,-0.04159408
475,-0.03075027
476,-0.01378496
477,0.00840366
478,0.01407647
479,0.02654868
480,0.01836569
481,0.0276053
482,0.04816724
483,0.10087318
484,0.14111083
485,0.19681937
486,0.18983281
487,0.13639415
488,0.09264889
489,0.05932733
490,0.03774577
491,0.04646211
492,0.04471155
493,0.05140679
494,0.04373023
495,0.03588637
496,0.03640921
497,0.00745365
498,0.00914249
499,0.03486743
500,0.06680757
501,0.10164471
502,0.1288294
503,0.08978398
504,0.07033576
505,0.02749804
506,0.02671882
507,0.03071941
508,0.05075999
509,0.05726517
510,0.05524265
511,0.04509444
512,0.03312882
513,0.0295493
514,0.04324548
515,0.07819016
516,0.11578025
517,0.15078953
518,0.14287611
519,0.02033319
520,-0.01664772
521,-0.04530224
522,-0.05891163
523,-0.06867432
524,-0.05798851
525,-0.0679539
526,-0.05545059
527,-0.07627918
528,-0.08343847
529,-0.09561566
530,-0.09815156
531,-0.09303015
532,-0.08092854
533,-0.07744643
534,-0.07169072
535,-0.08388341
536,-0.0985995
537,-0.10634359
538,-0.10962598
539,-0.09593477
540,-0.09937376
541,-0.08434995
542,-0.08223147
543,-0.0784624
544,-0.07447472
545,-0.07582704
546,-0.07101917
547,-0.04215419
548,-0.01578172
549,0.01451266
550,0.02601124
551,-0.00739179
552,-0.02523641
553,-0.04766274
554,-0.06467586
555,-0.05292959
556,-0.04656691
557,-0.03478343
558,-0.05100156
559,-0.03579108
560,-0.06061381
561,-0.06261793
562,-0.05465614
563,-0.02684425
564,-0.00641366
565,0.01621943
566,0.03508602
567,0.00618741
568,-0.0033876
569,-0.01808931
570,-0.02941642
571,-0.01714663
572,-0.00423924
573,0.00818825
574,0.00411184
575,0.00182033
576,-0.00145588
577,-0.00349419
578,0.0116238
579,0.04244249
580,0.07465018
581,0.10410287
582,0.10570832
583,0.05979017
584,0.02677742
585,-0.00732384
586,-0.02104789
587,-0.02039224
588,-0.01589739
589,-0.02063094
590,-0.02739119
591,-0.03053154
592,-0.04870239
593,-0.05501634
594,-0.0565689
595,-0.04222415
596,-0.0217798
597,0.00556235
598,0.0047959
599,-0.02150185
600,-0.0301768
601,-0.04643885
602,-0.03962271
603,-0.03144606
604,-0.01973271
605,0.01052233
606,0.01259258
607,0.01387233
608,0.00798248
609,0.01529292
610,0.03866007
611,0.08446652
612,0.12074846
613,0.17754071
614,0.17255476
615,0.1246019
616,0.07977615
617,0.0410445
618,0.01827795
619,0.03845189
620,0.03501164
621,0.02812619
622,0.03647409
623,0.0149352
624,0.0128573
625,-0.00514429
626,0.00087221
627,0.03208362
628,0.05529043
629,0.08864943
630,0.08807274
631,0.07337024
632,0.04499665
633,0.02401935
634,0.01266406
635,0.01418127
636,0.02325277
637,0.03733368
638,0.03451668
639,0.02996309
640,0.0136881
641,0.0104708
642,0.02639391
643,0.05751821
644,0.09295472
645,0.11984642
646,0.09709223
647,0.06133134
648,0.00410764
649,-0.02436645
650,-0.04217765
651,-0.03877254
652,-0.04321163
653,-0.03381753
654,-0.05231002
655,-0.07053402
656,-0.07328781
657,-0.0918396
658,-0.092038
659,-0.08555139
660,-0.06461839
661,-0.05688028
662,-0.0529001
663,-0.07406122
664,-0.08543194
665,-0.09649256
666,-0.09709368
667,-0.0920392
668,-0.07755982
669,-0.08089744
670,-0.06548366
671,-0.07382968
672,-0.0675735
673,-0.06755722
674,-0.05097914
675,-0.03826816
676,0.00043072
677,0.0390658
678,0.03924818
679,0.00806746
680,-0.02633526
681,-0.04516318
682,-0.0583229
683,-0.05396752
684,-0.03995363
685,-0.04137565
686,-0.04221617
687,-0.04757979
688,-0.0522049
689,-0.06752292
690,-0.04883374
691,-0.02810315
692,-0.01346807
693,0.02750961
694,0.04234799
695,0.02553808
696,0.01970956
697,-0.02190626
698,-0.02775538
699,-0.01267579
700,-0.00075581
701,0.01353687
702,0.00872718
703,0.00669109
704,0.0009967
705,0.00556191
706,0.01707322
707,0.05211912
708,0.09538903
709,0.13481264
710,0.11733415
711,0.07906206
712,0.02880097
713,-0.01172093
714,-0.02246412
715,-0.02220081
716,-0.0170748
717,-0.02236749
718,-0.01586558
719,-0.04981037
720,-0.05656727
721,-0.06000766
722,-0.06639798
723,-0.04486411
724,-0.02230533
725,0.00503615
726,0.00333762
727,-0.0243922
728,-0.04201092
729,-0.05489355
730,-0.05371077
731,-0.0303308
732,-0.02373122
733,-0.00427774
734,0.00918173
735,0.00602441
736,0.01075658
737,0.02679446
738,0.04239334
739,0.08830661
740,0.14175499
741,0.20559196
742,0.18975087
743,0.13900567
744,0.08707047
745,0.04888327
746,0.02882607
747,0.02928887
748,0.04187377
749,0.03747827
750,0.04012957
751,0.01757127
752,0.00141587
753,-0.00080732
754,-0.00429162
755,0.02854778
756,0.05065488
757,0.10293628
758,0.10304838
759,0.07507568
760,0.04574838
761,0.00615348
762,0.00242034
763,0.01012899
764,0.03072475
765,0.0268252
766,0.04031576
767,0.02154261
768,0.01461657
