interval,loss,a0,b0,c0,d0
0,0.7320964608205832,7.907479197745075e-05,0.05051324956508964,-4.163450149742875e-05,0.05051749589836491
0,0.7333750931173052,7.949937438859876e-05,0.05051325858300249,-4.189822396967665e-05,0.050517485952962814
0,0.9699477171187368,9.155782113349501e-05,0.05051890135394869,-2.8255419152159846e-05,0.05052108452698291
0,0.9743951781491735,9.199081892322374e-05,0.050518911107831806,-2.850515408651078e-05,0.050521077439076384
0,1.3276507790484555,8.009382546143099e-05,0.0505285265940174,-3.1814942159891314e-05,0.050521648794947784
0,1.3347920909656623,8.054404657305186e-05,0.05052853389468602,-3.2032153824085056e-05,0.05052164062525827
0,1.0171739549902212,8.101861378980567e-05,0.05053076603555039,-3.6800208069964903e-05,0.05053739282013457
0,1.0199405856035144,8.14648758284899e-05,0.05053077382105091,-3.7025376985256026e-05,0.05053738341065012
0,1.3959864101805712,8.816418923840738e-05,0.05053135890685849,-3.985606043118812e-05,0.05052353203658319
0,1.4019743452347615,8.861337115369491e-05,0.05053136705195048,-4.007530175871358e-05,0.05052352191211975
0,1.010409931007558,8.9497229921681e-05,0.05053264931174646,-3.2419172345394374e-05,0.050533864580910394
0,1.016803111663826,8.99339953263094e-05,0.05053265862737584,-3.266224773768867e-05,0.050533856608832244
0,1.1546531458255995,8.309165223169112e-05,0.050530195177760744,-3.3966905595772206e-05,0.05051877551192081
0,1.161235145241437,8.353848979154956e-05,0.050530202983582934,-3.419096237928675e-05,0.05051876691994777
0,1.380272888616111,8.885312522877472e-05,0.050532770441205965,-3.8197971995730086e-05,0.05053167893685522
0,1.3918134578394943,8.928770342216012e-05,0.05053277985170399,-3.844488758374055e-05,0.05053166966707862
0,1.0936481314754896,8.361858765552168e-05,0.050518266645892956,-3.832101272366516e-05,0.05053283979442325
0,1.0999965006348538,8.404890456460045e-05,0.05051827581123926,-3.8575274422568324e-05,0.050532830081408325
0,1.2562166044364098,8.836491858702659e-05,0.05051333438952414,-3.080340312343571e-05,0.05052278978376064
0,1.263098950498127,8.879322371295791e-05,0.05051334429272435,-3.1061088631093804e-05,0.05052278237937886
0,0.9605962867384513,8.91882110791821e-05,0.05053221024240909,-2.6695741899796335e-05,0.050534220858844715
0,0.9650000503142415,8.962805317963317e-05,0.05053221930628373,-2.6933255795282848e-05,0.050534214231454724
0,0.993288465471788,7.978409215070754e-05,0.05052942840620557,-4.0475858569035746e-05,0.050535758042177026
0,0.9957140983244309,8.023247079263499e-05,0.05052943588445213,-4.0696743325531394e-05,0.050535747525825965
0,0.930908094285307,8.303519111821792e-05,0.05053057907134183,-2.8178016251793822e-05,0.050532694013513096
0,0.9352981725197586,8.348032631636948e-05,0.05053058711829656,-2.8405478156627e-05,0.05053268687322349
0,1.0866621882192544,8.816587519741795e-05,0.050523065077021805,-2.5231268674532546e-05,0.05053705364105577
0,1.0928296075556823,8.859080018942517e-05,0.050523075159468724,-2.549451932045074e-05,0.05053704762500595
0,1.2359172332159012,9.233380046323919e-05,0.05053197060116916,-3.400507744097474e-05,0.05052079176203304
0,1.242669397720157,9.277565903266156e-05,0.05053197973640318,-3.4238760319416015e-05,0.05052078340353732
0,1.4115309440698003,8.200266758251349e-05,0.050527930767000545,-3.16954708536374e-05,0.05052176869192128
0,1.4196526062209238,8.245263937494108e-05,0.050527938264805616,-3.191319299807272e-05,0.05052176055332428
0,1.2320081834113668,8.170203855578496e-05,0.05051882309887523,-3.985910915076919e-05,0.050528324290038694
0,1.2388207243719103,8.213851387948126e-05,0.05051883164064516,-4.01026516141061e-05,0.05052831412153229
